20221023-181601:8,0.0
20221023-181602:8,0.0
20221023-181603:8,0.0
20221023-181604:8,0.0
20221023-181605:8,0.0
20221023-181606:8,0.0
20221023-181607:8,0.0
20221023-181608:8,0.0
20221023-181609:8,0.0
20221023-181610:8,0.0
20221023-181611:8,0.0
20221023-181612:8,33.3
20221023-181613:8,0.0
20221023-181614:8,20.0
20221023-181615:8,0.0
20221023-181616:8,0.0
20221023-181617:8,0.0
20221023-181619:8,0.0
20221023-181620:8,0.0
20221023-181621:8,0.0
20221023-181622:8,33.3
20221023-181623:8,0.0
20221023-181624:8,0.0
20221023-181625:8,0.0
20221023-181626:8,0.0
20221023-181627:8,16.7
20221023-181628:8,0.0
20221023-181629:8,16.7
20221023-181630:8,0.0
20221023-181631:8,0.0
20221023-181632:8,16.7
20221023-181633:8,16.7
20221023-181634:8,0.0
20221023-181635:8,37.5
20221023-181636:8,0.0
20221023-181637:8,28.6
20221023-181638:8,0.0
20221023-181639:8,0.0
20221023-181640:8,0.0
20221023-181641:8,0.0
20221023-181642:8,0.0
20221023-181643:8,37.5
20221023-181644:8,12.5
20221023-181645:8,0.0
20221023-181646:8,16.7
20221023-181647:8,0.0
20221023-181648:8,0.0
20221023-181649:8,0.0
20221023-181650:8,25.0
20221023-181651:8,0.0
20221023-181652:8,0.0
20221023-181653:8,57.1
20221023-181654:8,0.0
20221023-181655:8,0.0
20221023-181656:8,0.0
20221023-181657:8,0.0
20221023-181658:8,0.0
20221023-181659:8,0.0
20221023-181700:8,0.0
20221023-181701:8,0.0
20221023-181702:8,0.0
20221023-181703:8,0.0
20221023-181704:8,16.7
20221023-181705:8,33.3
20221023-181706:8,0.0
20221023-181707:8,0.0
20221023-181708:8,0.0
20221023-181709:8,50.0
20221023-181710:8,50.0
20221023-181711:8,0.0
20221023-181712:8,0.0
20221023-181713:8,0.0
20221023-181714:8,0.0
20221023-181715:8,0.0
20221023-181716:8,0.0
20221023-181717:8,0.0
20221023-181718:8,0.0
20221023-181719:8,0.0
20221023-181720:8,0.0
20221023-181721:8,0.0
20221023-181722:8,0.0
20221023-181723:8,0.0
